TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Belgium,1,kkulkkule,00:32:08.5440000,26,1,0,00:01:48.4420000,True,Ferrari,0,False,False,
Belgium,1,Fernando Alonso,00:32:13.4350000,18,2,0,00:01:51.4260000,False,Aston Martin,0,False,True,
Belgium,1,Oscar Piastri,00:32:14.5400000,15,3,0,00:01:52.0470000,False,McLaren,0,False,True,
Belgium,1,Max Verstappen,00:32:14.8810000,12,4,0,00:01:50.7050000,False,Red Bull,0,False,True,
Belgium,1,Lewis Hamilton,00:32:15.5320000,10,5,0,00:01:50.9190000,False,Mercedes-AMG Petronas,0,False,True,
Belgium,1,Yuki Tsunoda,00:32:17.7700000,8,6,0,00:01:53.1670000,False,AlphaTauri,0,False,True,
Belgium,1,Alex Albon,00:32:18.0690000,6,7,0,00:01:52.9260000,False,Williams,0,False,True,
Belgium,1,George Russell,00:32:18.4980000,4,8,0,00:01:51.4040000,False,Mercedes-AMG Petronas,0,False,True,
Belgium,1,Valtteri Bottas,00:32:20.2230000,2,9,0,00:01:53.4060000,False,Alfa Romeo,0,False,True,
Belgium,1,Charles Leclerc,00:32:20.2730000,1,10,0,00:01:53.0220000,False,Ferrari,0,False,True,
Belgium,1,Guanyu Zhou,00:32:22.0360000,0,11,0,00:01:53.5020000,False,Alfa Romeo,0,False,True,
Belgium,1,Logan Sargeant,00:32:22.9550000,0,12,0,00:01:53.4880000,False,Williams,0,False,True,
Belgium,1,Nico Hulkenberg,00:32:23.6090000,0,13,0,00:01:54.0080000,False,Haas,0,False,True,
Belgium,1,Esteban Ocon,00:32:24.0050000,0,14,0,00:01:53.7660000,False,Alpine,0,False,True,
Belgium,1,Daniel Ricciardo,00:32:26.3600000,0,15,0,00:01:54.4760000,False,World Car,0,False,True,
Belgium,1,Kevin Magnussen,00:32:26.5150000,0,16,0,00:01:54.0660000,False,Haas,0,False,True,
Belgium,1,Pierre Gasly,00:32:30.9080000,0,17,0,00:01:54.9280000,False,Alpine,0,False,True,
Belgium,1,dev-Tobby,00:11:44.1510000,0,18,0,00:01:49.0410000,False,Red Bull,0,False,False,
Belgium,1,0x5e0x5e,00:21:14.1360000,0,19,0,00:01:49.5640000,False,Aston Martin,0,False,False,
Belgium,1,Lando Norris,00:28:10.1360000,0,20,0,00:01:52.7090000,False,McLaren,0,False,True,
