TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Spain,1,kkulkkule,00:39:32.1350000,26,1,0,00:01:15.8410000,True,Williams,0,False,False,
Spain,1,0x5e0x5e,00:39:36.3630000,18,2,0,00:01:16.8900000,False,Alpine,0,False,False,
Spain,1,Guanyu Zhou,00:39:56.4930000,15,3,0,00:01:20.2140000,False,Alfa Romeo,0,False,True,
Spain,1,Oscar Piastri,00:39:56.5370000,12,4,0,00:01:20.1830000,False,McLaren,0,False,True,
Spain,1,Fernando Alonso,00:39:56.8120000,10,5,0,00:01:20.1980000,False,Aston Martin,0,False,True,
Spain,1,George Russell,00:39:57.1590000,8,6,0,00:01:19.6440000,False,Mercedes-AMG Petronas,0,False,True,
Spain,1,Lewis Hamilton,00:39:57.4740000,6,7,0,00:01:20.1880000,False,Mercedes-AMG Petronas,0,False,True,
Spain,1,Sergio Perez,00:39:57.8780000,4,8,0,00:01:19.9260000,False,Red Bull,0,False,True,
Spain,1,Charles Leclerc,00:39:58.8830000,2,9,0,00:01:20.1770000,False,Ferrari,0,False,True,
Spain,1,Carlos Sainz,00:40:02.1530000,1,10,0,00:01:20.5380000,False,Ferrari,0,False,True,
Spain,1,Yuki Tsunoda,00:40:02.8400000,0,11,0,00:01:20.8630000,False,AlphaTauri,0,False,True,
Spain,1,Nico Hulkenberg,00:40:03.4280000,0,12,0,00:01:21.2640000,False,Haas,0,False,True,
Spain,1,Valtteri Bottas,00:40:03.7620000,0,13,0,00:01:21.0560000,False,Alfa Romeo,0,False,True,
Spain,1,Kevin Magnussen,00:40:04.5620000,0,14,0,00:01:21.2160000,False,Haas,0,False,True,
Spain,1,Lance Stroll,00:40:04.8570000,0,15,0,00:01:20.9180000,False,Aston Martin,0,False,True,
Spain,1,Logan Sargeant,00:40:08.6970000,0,16,0,00:01:21.6360000,False,Williams,0,False,True,
Spain,1,Daniel Ricciardo,00:40:09.2730000,0,17,0,00:01:21.5900000,False,World Car,0,False,True,
Spain,1,Pierre Gasly,00:40:16.1070000,0,18,0,00:01:21.8610000,False,Alpine,0,False,True,
Spain,1,Max Verstappen,00:17:55.7520000,0,19,0,00:01:20.2430000,False,Red Bull,0,False,True,
Spain,1,dev-Tobby,00:18:50.2690000,0,20,0,00:01:17.9090000,False,McLaren,0,False,False,
