TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Australia,1,kkulkkule,00:28:39.7200000,26,1,0,00:01:22.1050000,True,Williams,0,False,False,
Australia,1,0x5e0x5e,00:28:53.8570000,18,2,0,00:01:22.4690000,False,Alpine,0,False,False,
Australia,1,dev-Tobby,00:29:06.6250000,15,3,0,00:01:24.5910000,False,McLaren,0,False,False,
Australia,1,Fernando Alonso,00:29:14.2860000,12,4,0,00:01:25.6460000,False,Aston Martin,0,False,True,
Australia,1,Yuki Tsunoda,00:29:15.6410000,10,5,0,00:01:25.5870000,False,AlphaTauri,0,False,True,
Australia,1,Lewis Hamilton,00:29:26.1840000,8,6,0,00:01:26.0310000,False,Mercedes-AMG Petronas,0,False,True,
Australia,1,George Russell,00:29:31.5890000,6,7,0,00:01:25.9010000,False,Mercedes-AMG Petronas,0,False,True,
Australia,1,Kevin Magnussen,00:29:33.5250000,4,8,0,00:01:26.5460000,False,Haas,0,False,True,
Australia,1,Sergio Perez,00:29:39.4690000,2,9,0,00:01:26.5940000,False,Red Bull,0,False,True,
Australia,1,Logan Sargeant,00:29:41.4220000,1,10,0,00:01:26.7250000,False,Williams,0,False,True,
Australia,1,Oscar Piastri,00:28:44.4650000,0,11,0,00:01:27.0110000,False,McLaren,0,False,True,
Australia,1,Nico Hulkenberg,00:29:41.6510000,0,12,0,00:01:26.3240000,False,Haas,0,False,True,
Australia,1,Carlos Sainz,00:29:42.2500000,0,13,0,00:01:25.9560000,False,Ferrari,0,False,True,
Australia,1,Charles Leclerc,00:29:42.6220000,0,14,0,00:01:26.0410000,False,Ferrari,0,False,True,
Australia,1,Guanyu Zhou,00:29:44.9620000,0,15,0,00:01:26.4140000,False,Alfa Romeo,0,False,True,
Australia,1,Valtteri Bottas,00:29:45.4720000,0,16,0,00:01:26.5660000,False,Alfa Romeo,0,False,True,
Australia,1,Max Verstappen,00:29:45.4990000,0,17,0,00:01:26.7900000,False,Red Bull,0,False,True,
Australia,1,Lance Stroll,00:29:47.5930000,0,18,0,00:01:26.7790000,False,Aston Martin,0,False,True,
Australia,1,Pierre Gasly,00:29:48.5170000,0,19,0,00:01:25.9000000,False,Alpine,0,False,True,
Australia,1,Daniel Ricciardo,00:05:55.3930000,0,20,0,00:01:27.1630000,False,World Car,0,False,True,
