TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Bahrain,1,dev-Tobby,00:33:02.4560000,25,1,0,00:01:36.5820000,False,McLaren,0,False,False,
Bahrain,1,kkulkkule,00:33:02.8900000,18,2,0,00:01:35.3210000,False,Williams,0,False,False,
Bahrain,1,George Russell,00:33:21.6430000,15,3,0,00:01:37.5860000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Lewis Hamilton,00:33:24.1380000,12,4,0,00:01:37.5060000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Max Verstappen,00:33:26.2960000,10,5,0,00:01:37.6370000,False,Red Bull,0,False,True,
Bahrain,1,Sergio Perez,00:33:27.0040000,8,6,0,00:01:37.6570000,False,Red Bull,0,False,True,
Bahrain,1,Charles Leclerc,00:33:27.5720000,6,7,0,00:01:37.8220000,False,Ferrari,0,False,True,
Bahrain,1,0x5e0x5e,00:33:28.0230000,5,8,0,00:01:34.6150000,True,Alpine,0,False,False,
Bahrain,1,Fernando Alonso,00:33:28.9640000,2,9,0,00:01:37.8320000,False,Aston Martin,0,False,True,
Bahrain,1,Carlos Sainz,00:33:45.8030000,1,10,0,00:01:38.1170000,False,Ferrari,0,False,True,
Bahrain,1,Valtteri Bottas,00:33:51.9990000,0,11,0,00:01:38.6230000,False,Alfa Romeo,0,False,True,
Bahrain,1,Nico Hulkenberg,00:33:52.8150000,0,12,0,00:01:38.8210000,False,Haas,0,False,True,
Bahrain,1,Daniel Ricciardo,00:33:53.5240000,0,13,0,00:01:38.7120000,False,World Car,0,False,True,
Bahrain,1,Logan Sargeant,00:33:55.0630000,0,14,0,00:01:38.7120000,False,Williams,0,False,True,
Bahrain,1,Pierre Gasly,00:33:55.6490000,0,15,0,00:01:38.6700000,False,Alpine,0,False,True,
Bahrain,1,Guanyu Zhou,00:33:56.6360000,0,16,0,00:01:38.7310000,False,Alfa Romeo,0,False,True,
Bahrain,1,Kevin Magnussen,00:34:01.7600000,0,17,0,00:01:38.9490000,False,Haas,0,False,True,
Bahrain,1,Yuki Tsunoda,00:34:02.3340000,0,18,0,00:01:38.8500000,False,AlphaTauri,0,False,True,
Bahrain,1,Lance Stroll,00:34:16.5020000,0,19,0,00:01:40.2190000,False,Aston Martin,0,False,True,
Bahrain,1,Oscar Piastri,00:09:39.9000000,0,20,0,00:01:38.9050000,False,McLaren,0,False,True,
